,postal_code,ctr,Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),Estimate!!RACE!!Total population,Estimate!!RACE!!Total population!!Two or more races,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,Estimate!!RACE!!Total population!!Two or more races!!White and Asian,Estimate!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Estimate!!SEX AND AGE!!Total population!!Median age (years)
31,48046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,48047.0,0.0016961841089363475,74.7,40434.0,1088.0,1738.0,127.0,0.0,0.0,0.0,688.0,60.0,334.0,0.0,63.0,0.0,214.0,20.0,0.0,0.0,0.0,20.0,52.0,278.0,338.0,35.0,440.0,29.0,58.0,4.0,184.0,0.0,52.0,95.4,3004.0,2404.0,41.1
33,48048.0,0.0013700528567615671,86.4,7689.0,418.0,579.0,62.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,178.0,0.0,0.0,313.0,0.0,45.0,0.0,47.0,12.0,0.0,92.6,615.0,413.0,37.5
34,48049.0,0.0010785095983259787,86.5,5476.0,49.0,32.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,0.0,0.0,27.0,1.0,24.0,0.0,7.0,0.0,0.0,93.8,333.0,185.0,46.9
35,48050.0,0.0010019342289402805,87.0,1677.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.8,33.0,60.0,44.7
36,48051.0,0.001106945363983964,72.3,18531.0,338.0,1836.0,95.0,0.0,0.0,0.0,85.0,18.0,45.0,0.0,22.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,274.0,94.0,27.0,21.0,224.0,19.0,88.0,27.0,85.0,0.0,5.0,116.8,1472.0,1014.0,36.5
37,48054.0,0.0010714672986167925,89.7,7192.0,74.0,55.0,0.0,0.0,0.0,0.0,44.0,7.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,31.0,20.0,0.0,43.0,0.0,10.0,0.0,0.0,109.0,0.0,102.2,467.0,286.0,49.9
38,48059.0,0.0012285866362820497,74.5,14957.0,426.0,193.0,5.0,5.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,54.0,10.0,0.0,59.0,31.0,10.0,39.0,32.0,0.0,0.0,89.9,953.0,924.0,45.0
39,48060.0,0.001006713074123188,77.9,39537.0,2414.0,2692.0,94.0,24.0,0.0,0.0,467.0,63.0,69.0,0.0,38.0,8.0,238.0,26.0,9.0,0.0,9.0,8.0,275.0,479.0,72.0,75.0,840.0,42.0,164.0,121.0,146.0,0.0,17.0,97.3,2317.0,3219.0,38.4
40,48061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,48062.0,0.0014128910752586666,68.5,9597.0,245.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,89.0,60.0,0.0,89.0,40.0,0.0,0.0,75.0,0.0,0.0,96.9,729.0,555.0,38.8
42,48063.0,0.0011696657391871406,111.8,4024.0,87.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,42.0,32.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,109.7,371.0,263.0,43.8
43,48064.0,0.0009349561302597665,84.8,4048.0,46.0,6.0,7.0,0.0,0.0,0.0,72.0,0.0,8.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,97.6,278.0,225.0,42.5
44,48065.0,0.0007646066078957699,87.2,11178.0,157.0,383.0,0.0,0.0,0.0,0.0,173.0,7.0,0.0,0.0,24.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,103.0,48.0,6.0,109.0,0.0,8.0,0.0,0.0,0.0,0.0,105.1,685.0,540.0,44.7
45,48066.0,0.0010654866833845682,67.0,47710.0,1333.0,9011.0,334.0,0.0,0.0,0.0,683.0,59.0,120.0,6.0,35.0,12.0,63.0,5.0,5.0,0.0,0.0,0.0,485.0,264.0,196.0,107.0,726.0,116.0,175.0,24.0,75.0,230.0,12.0,93.0,3046.0,3388.0,38.7
46,48067.0,0.00112717969082646,75.8,24901.0,669.0,881.0,7.0,0.0,0.0,0.0,678.0,219.0,64.0,31.0,114.0,9.0,61.0,0.0,0.0,0.0,0.0,0.0,84.0,132.0,365.0,0.0,150.0,8.0,63.0,12.0,256.0,60.0,5.0,107.4,725.0,1959.0,34.6
47,48068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48069.0,0.0004001809417157161,89.6,2389.0,103.0,49.0,7.0,0.0,0.0,0.0,51.0,5.0,30.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,35.0,32.0,41.0,0.0,39.0,6.0,0.0,0.0,46.0,6.0,4.0,98.3,77.0,48.0,46.6
49,48070.0,0.0014775414714738528,81.1,6340.0,175.0,96.0,0.0,0.0,0.0,0.0,131.0,19.0,43.0,13.0,34.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,59.0,11.0,5.0,90.6,490.0,129.0,43.2
50,48071.0,0.000799958555039093,64.7,30226.0,847.0,2872.0,122.0,36.0,0.0,0.0,1386.0,503.0,195.0,0.0,89.0,83.0,85.0,0.0,0.0,0.0,0.0,0.0,273.0,183.0,80.0,27.0,487.0,73.0,38.0,0.0,296.0,0.0,0.0,90.2,1738.0,2101.0,37.3
51,48072.0,0.001134978481462319,61.9,15360.0,482.0,622.0,102.0,0.0,0.0,0.0,152.0,29.0,37.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,75.0,138.0,36.0,222.0,40.0,131.0,25.0,95.0,0.0,0.0,96.7,736.0,619.0,37.0
52,48073.0,0.0010468241465171578,74.0,34242.0,434.0,1296.0,36.0,6.0,0.0,0.0,1552.0,516.0,178.0,67.0,188.0,34.0,100.0,20.0,0.0,20.0,0.0,0.0,115.0,113.0,174.0,30.0,179.0,30.0,125.0,48.0,272.0,18.0,0.0,98.3,1243.0,2572.0,37.5
53,48074.0,0.0008196579665437971,86.7,9152.0,409.0,10.0,14.0,0.0,0.0,0.0,60.0,0.0,0.0,9.0,42.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,235.0,10.0,0.0,315.0,0.0,35.0,0.0,199.0,0.0,28.0,94.6,526.0,429.0,45.5
54,48075.0,0.0010904058053473797,60.2,22052.0,728.0,16470.0,21.0,0.0,0.0,7.0,318.0,44.0,60.0,11.0,17.0,9.0,54.0,0.0,0.0,0.0,0.0,0.0,335.0,20.0,8.0,53.0,267.0,55.0,102.0,10.0,88.0,225.0,21.0,77.7,1274.0,1542.0,44.1
55,48076.0,0.0011664103839168162,79.3,25220.0,725.0,16463.0,30.0,5.0,0.0,0.0,506.0,85.0,275.0,0.0,9.0,54.0,63.0,0.0,0.0,0.0,0.0,0.0,45.0,73.0,48.0,88.0,212.0,0.0,62.0,8.0,131.0,28.0,0.0,86.2,1691.0,1750.0,42.2
56,48079.0,0.0010027668602419731,87.4,12143.0,133.0,53.0,23.0,6.0,0.0,0.0,142.0,0.0,0.0,0.0,27.0,57.0,28.0,0.0,0.0,0.0,0.0,0.0,37.0,21.0,89.0,0.0,44.0,0.0,12.0,16.0,64.0,6.0,0.0,104.1,653.0,717.0,42.5
57,48080.0,0.0016196397853433771,66.0,22596.0,359.0,2345.0,33.0,0.0,0.0,0.0,232.0,48.0,32.0,17.0,56.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,35.0,137.0,38.0,0.0,170.0,41.0,64.0,0.0,113.0,0.0,6.0,96.0,964.0,1206.0,45.0
58,48081.0,0.0009647735484101439,70.9,20626.0,358.0,671.0,35.0,0.0,0.0,0.0,97.0,29.0,15.0,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,98.0,65.0,13.0,186.0,0.0,24.0,0.0,76.0,0.0,0.0,95.8,890.0,1175.0,44.8
59,48082.0,0.000963870350509826,75.8,16540.0,358.0,280.0,21.0,0.0,0.0,0.0,95.0,14.0,28.0,26.0,8.0,0.0,7.0,25.0,0.0,0.0,25.0,0.0,51.0,202.0,60.0,10.0,268.0,25.0,33.0,14.0,130.0,19.0,0.0,98.1,660.0,1009.0,44.6
60,48083.0,0.001413939740158538,76.6,22981.0,612.0,1319.0,33.0,19.0,0.0,0.0,5192.0,607.0,443.0,107.0,155.0,20.0,334.0,41.0,0.0,0.0,41.0,0.0,118.0,88.0,267.0,14.0,197.0,55.0,40.0,43.0,267.0,11.0,33.0,101.2,1442.0,1596.0,40.8
61,48084.0,0.0008405963619714153,87.6,15725.0,461.0,742.0,40.0,0.0,0.0,0.0,5425.0,1045.0,145.0,16.0,331.0,29.0,347.0,15.0,0.0,0.0,0.0,15.0,172.0,24.0,194.0,5.0,69.0,53.0,49.0,16.0,136.0,162.0,44.0,101.1,705.0,899.0,37.6
62,48085.0,0.0007580150456305705,78.8,25938.0,648.0,837.0,196.0,0.0,0.0,0.0,5138.0,861.0,433.0,107.0,695.0,65.0,493.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,286.0,43.0,296.0,0.0,9.0,0.0,161.0,0.0,85.0,103.1,1942.0,1573.0,42.1
